12:17:57(808) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:17:57(828) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
12:19:29(935) , [EZNET:EVENT]  =========================================================
12:19:29(936) , [EZNET:EVENT]  
12:19:29(955) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
12:19:29(955) , [EZNET:EVENT]  
12:19:29(955) , [EZNET:EVENT]  =========================================================
12:19:29(955) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
12:19:29(955) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
12:19:29(982) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
12:19:29(982) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
12:19:29(982) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:19:29(982) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
12:19:29(982) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
12:19:30(000) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
12:20:17(987) , [EZNET:EVENT]  =========================================================
12:20:17(987) , [EZNET:EVENT]  
